customer_id,first_name,last_name,email,phone,address,city,state,zip_code,date_of_birth,registration_date
1,Larry,Smith,erin71@example.org,+1-805-717-1321x6806,707 Nicholas Mountain Apt. 987,Floresland,NM,17111,1987-01-15,2024-02-17
2,Raymond,Phillips,sarahgarcia@example.com,529-611-5602,45034 Dakota Station Apt. 337,South Allisonshire,CA,45840,2002-08-27,2025-11-26
3,Jennifer,Berry,matthewortega@example.net,+1-717-223-7421,277 Nicolas Freeway,Johnville,NV,83993,1982-01-22,2025-07-20
4,Lori,Keller,maurice89@example.org,(429)244-6004,09184 Amy Valleys,Carterhaven,IN,35835,1961-10-31,2025-02-07
5,Brandi,Branch,alex45@example.com,927-535-3491x885,962 Crawford Path,East Alexbury,LA,15501,1969-01-10,2025-09-25
6,Sarah,Brown,frank86@example.net,202.679.8064,03713 Natalie Alley,Sarahhaven,CT,04681,1961-04-25,2024-06-17
7,Shane,Costa,pamela48@example.org,001-367-907-0495x2892,0448 Rojas Dale Apt. 343,Earlshire,FL,23410,1949-08-16,2025-03-26
8,Mark,Lozano,daniellecarter@example.org,+1-778-829-0322x069,61811 Roberts Field,Lake Jimburgh,MT,66904,2007-12-05,2026-02-22
9,Diane,Lowe,oewing@example.net,(329)992-5471x1640,19346 Jackson Vista,Nancyview,AL,67068,1952-01-02,2024-06-13
10,Leslie,Arias,slee@example.net,884.559.6759,412 Stephen Track,Lake Ashley,MI,62302,2007-05-10,2024-10-19
11,Eugene,Wilcox,mark20@example.net,+1-356-410-0584,8075 Jessica Drives Apt. 542,East Colleenburgh,NV,26057,1981-05-27,2024-12-23
12,Darren,Peters,michealwebster@example.org,200.657.9334x7472,732 Hernandez Fork,Gregoryborough,NY,46221,2000-02-08,2024-09-02
13,Dominic,Fowler,christopher28@example.net,(587)945-6417x057,63767 Lacey Courts Suite 115,West Samuelville,WV,97804,1956-08-28,2024-12-18
14,Joseph,Jordan,keithhorton@example.org,(667)299-4869x510,602 Latoya Circle Apt. 424,Port Adrianamouth,LA,03992,1951-10-11,2023-11-17
15,Jennifer,Salazar,antoniohernandez@example.com,(495)908-6141,370 Morris Lakes Apt. 541,Dorisstad,MO,86496,1961-04-09,2024-03-20
