supplier_id,company_name,contact_name,email,phone,address,city,state,country,industry,rating,contract_start_date
1,Bowers-Wall,Brittany Burton,olivermonica@dudley-fernandez.com,001-400-487-1128x89073,67870 Hooper Village Suite 662,Port James,WV,Tunisia,Distribution,1.9,2023-11-10
2,Lewis and Sons,Melissa Franco,juliemaynard@byrd.com,+1-908-355-9404x8487,21134 Destiny Viaduct Suite 155,Jasonborough,MA,Marshall Islands,Manufacturing,1.7,2022-06-22
3,"Winters, Garza and Oneal",Amy Lee,coleann@medina.com,+1-225-437-7633x888,39819 Moore Corner Apt. 529,Lake Charlesburgh,MH,Lithuania,Technology,3.1,2025-05-10
4,Chavez-Porter,Krystal Owens,angela05@barrett.biz,(721)916-6177x20695,76195 Susan Ports,East Renee,NC,New Zealand,Distribution,2.9,2024-12-31
5,"Turner, Freeman and Davis",Dwayne Rogers,youngstephen@jones-brown.com,978-583-5711x45105,4551 Dean Loaf,East John,VT,Puerto Rico,Wholesale,2.8,2024-04-17
6,Rose-Morales,Samantha Larson,andreaflores@rogers.com,776.845.9261x7129,2027 Soto Brook Suite 818,Lake Ruth,PA,South Africa,Technology,4.6,2021-05-18
7,Wiggins-Moore,Patrick Curtis,reedann@ayers.net,8457984698,3604 Jason Landing,East Melissa,KY,Vietnam,Textiles,2.8,2024-09-17
8,Rocha-Mcconnell,Joyce Hood,jamessantiago@taylor.com,001-567-228-4260x8141,3661 Tyler Lane Suite 015,Moodyfurt,VI,Jordan,Packaging,4.8,2021-10-19
9,Moore Group,Michele Knight,josephrose@barker.com,882-911-6518,5404 Christian Lane,Jasonbury,NH,Peru,Distribution,1.3,2025-04-20
10,Bailey Group,Andre Edwards,langtheodore@thompson.org,001-626-274-3128x9964,1186 Jefferson Roads,South Davidtown,PW,San Marino,Technology,2.3,2024-07-16
11,Burton-Short,Tiffany Edwards,sarahanderson@little-fritz.info,396.978.1785,132 Jaime Plaza,Port Erin,NH,Maldives,Chemicals,4.9,2023-04-06
12,Petty LLC,Chelsea Montoya,robertharris@schmitt-lam.com,(283)823-2624,2312 Sean Gateway,Bartonside,CA,Malta,Wholesale,4.4,2021-10-23
13,"Murphy, Boone and Taylor",Brian Larson,nfisher@lopez.com,001-769-977-6660x101,531 Cynthia Pine Suite 455,Jeromebury,IL,Saint Pierre and Miquelon,Manufacturing,1.3,2025-02-17
14,"Reed, Jackson and Kelly",John Livingston,davidoconnor@holmes-brown.com,238.207.7271x263,092 Cunningham Skyway,Daltonhaven,GA,Ethiopia,Chemicals,3.1,2022-08-31
15,Walker-Wiggins,Joseph Brown,sjackson@miller.net,362.939.5686x4635,1264 Vanessa Unions,Tiffanyville,OR,Moldova,Wholesale,4.4,2021-03-22
16,Gardner PLC,Robert Snyder MD,ibarr@conner.com,+1-269-984-3259x239,4584 Griffin Parks,Amymouth,CO,Ethiopia,Agriculture,2.2,2022-03-05
17,Allison Ltd,Anthony Robinson,jennifer74@swanson.com,3364609150,728 Heather Land,Lake Samuel,OH,Costa Rica,Textiles,2.6,2022-03-06
18,Harvey-Johnson,Troy Wilson,rodney48@valentine.com,(228)795-3362,4857 Murphy Gateway Apt. 177,Hoffmanside,NV,Guyana,Agriculture,3.0,2021-07-17
19,Mendez-Benjamin,Alicia Welch MD,morrisamanda@sanders.com,(753)683-7951x425,15613 Wendy Summit,Rayside,TN,Malta,Raw Materials,3.1,2023-11-03
20,"Jackson, Carlson and Finley",Jared Johnson,jonesnancy@swanson.com,202.988.8031x635,5890 Jacqueline Lakes,South Erinview,AK,Brazil,Textiles,2.2,2021-05-18
21,Reyes Inc,Bianca Obrien,courtney20@cox.com,001-224-515-5883x9386,491 Jordan Port Suite 455,Teresahaven,AK,Holy See (Vatican City State),Wholesale,4.6,2024-03-07
22,Rollins Ltd,Dr. Jillian Church,kylejohnson@wiggins-burns.net,001-804-967-4291x7252,19830 Johnson Lake,South Amyside,WI,Vietnam,Manufacturing,2.3,2023-03-18
23,Sosa-Meyer,Alan Abbott,hcross@mccann-crawford.com,486.719.2939,6002 Chad Ramp Apt. 401,South Johnnybury,MS,Samoa,Textiles,3.7,2026-01-15
24,Johnson-Clayton,Carmen Watkins,hansonshannon@lam.com,001-534-661-1614x03874,1544 Taylor Terrace Suite 297,Burkechester,IN,Oman,Raw Materials,3.2,2022-01-05
